issue_id,award_id,userid,issue_reason,issue_time
4244,149,30720,You successfully earned the title of Cursebreaker.,1568072940
4253,147,64483,You successfully earned the title of Dredgen.,1568645640
4254,151,64483,"",1568645698
4273,147,64885,You successfully earned the title of Dredgen.,1569366360
4274,149,64885,You successfully earned the title of Cursebreaker.,1569366360
4276,151,64885,"",1569366415
4279,147,62859,You successfully earned the title of Dredgen.,1569646200
4280,149,62859,You successfully earned the title of Cursebreaker.,1569646200
4369,18,32509,Grats on 5 years in AOD.  Proud to know you!,1572312169
4371,18,31560,Grats on 5 years with AOD!,1572312403
4442,18,32873,His past his 5 years!,1574552697
4443,16,32873,Overdue from previous work in WT,1574553085
4458,18,32515,Five years of service! Congrats!,1575348807
4473,5,60411,Reached the requirements,1575865374
4605,140,3419,"",1576107907
4606,140,17242,"",1576172475
4607,140,3407,"",1576172484
4633,139,3469,Member has been in AOD for at least 15 years.,1576851622
4678,147,31782,You successfully earned the title of Dredgen.,1578539640
4736,18,32540,5 Years in AOD,1579467600
4751,19,9647,Some nerd,1580430716
4786,18,34208,5 Years with AOD!,1582774047
4790,18,29133,5 years with AOD!,1582774517
4846,5,60257,Achieved the rank of 120 in PS2.,1585051506
4853,19,10264,"",1585357086
5021,104,47708,"",1585999643
5136,41,21703,Retired Reaper,1587088455
5207,5,43957,Reached ASP,1587598535
5208,5,74718,Reached ASP,1587598626
5212,76,66775,Won Tank Race During 7th Annivarsary,1587853870
5213,76,65194,Won Air Battle During 7th Anniversary. Killed RedKnight 3 times in a row.,1587853980
5326,18,35859,Being in AOD for 5 years glad to have you with us .. on to the next 5,1588969214
5340,180,70753,Reached lvl 100,1589232264
5345,180,66058,Reached lvl 100,1589232444
5347,180,60082,Reached lvl 100,1589232573
5348,180,39909,Reached lvl 100,1589232622
5349,180,60775,Reached lvl 100,1589232687
5350,180,35283,Reached lvl 100,1589232714
5355,180,73373,Reached lvl 100,1589232990
5357,180,68619,Reached lvl 100,1589233070
